word,replacement
@hillaryclinton,Hillary Clinton
@nytimes,nyt
@mike_pence,Mike Pence
@realdonaldtrump,Donald Trump
@abc,abc
@cnn,cnn
@msnbc,msnbc
@cbsnews,cbsnews
#blacklivesmatter,blm
#blm,blm
#crookedhillary,Hillary Clinton
#donaldtrump,Donald Trump
#trump,Donald Trump
#hackinghillary,Hillary Clinton
@youtube,youtube
trumps,Donald Trump
hillarys,Hillary Clinton
@lorettalynch,LorettaLynch
#billclinton,Bill Clinton
#trump2016,Donald Trump
#Kaine,Tim Kaine
#hillary,Hillary Clinton
#americafirst,Donald Trump
@blacktivists,blm
#trumpforpresident,Donald Trump
#cruzcrew,Ted Cruz
@breitbartNews,Breitbart
#obama,Obama
#thanksobama,Obama
#rubio,Rubio
#feelthebern,feelthebern
#makeamericagreatagain,maga
#trumparmy,trumparmy
#demdebate,demdebate
